歌名,歌手,出现次数
那些失眠的夜与难以忘怀的事,老王乐队,3
那天,撒娇,3
郊眠寺,万能青年旅店,3
酒干倘卖无,苏芮; 迪克牛仔,3
酸酸甜甜就是我,张含韵,3
野百合也有春天,罗大佑,3
阳宝,王菲,3
青年王国,马頔,3
顺流而下(2021 Version),声音碎片乐队,3
风景,丢火车; 便利商店,3
风继续吹,张国荣,3
风雨彩虹铿锵玫瑰,田震,3
飞机场的10:30,陶喆,3
骑车去芬兰 (Heartbreak Finland),Bad Sweetheart,3
黑夜不再来(Live),陈奕迅,3
黑眼圈,陈绮贞,3
100种生活 (live 版),卢广仲,2
100种表情,方大同,2
18 and Life,Skid Row,2
180度,孙燕姿,2
591,郑宜农,2
All I Want for Christmas Is You,Mariah Carey,2
All about Anna,昨夜派对（L.N Party）,2
Angel,FINNEAS,2
Armatopia,Johnny Marr,2
Back To December,Taylor Swift,2
Bang Bang,Jessie J / Ariana Grande / Nicki Minaj,2
Beat It,Michael Jackson,2
Beautiful,自然卷,2
Beautiful Journey,平井 大,2
Better Man,Robbie Williams,2
Bling Bling Bling,后海大鲨鱼,2
Breathe,The Silent League,2
Bummer Summer,Charmer,2
Butter-Fly,和田光司,2
California Dreamin',Mamas & The Papas; The Mamas & the Papas,2
Can't Buy Me Love,The Beatles,2
Candlelight (feat. OHHYUK),落日飞车 / 吴赫,2
Cornfield Chase,Hans Zimmer,2
Crazy In Love,Beyoncé / JAY-Z; Beyoncé / Jay-Z,2
Cure For Me,AURORA,2
Di Da Di,李玟,2
Di-Dar (Live),王菲,2
Don't Break My Heart,黑豹乐队,2
ENDLESS RAIN,X JAPAN,2
EP2,彭坦,2
Everywhere We Go,陈冠希 / MC仁 / 厨房仔 / 应采儿,2
FIRST LOVE,押尾コータロー,2
Falling in Love,Us The Duo,2
Going Home,Sophie Zelmani,2
Happy Birth Day,五月天 阿信,2
Hiding My Heart,Adele,2
Honey Honey,孙燕姿,2
I Believe,申升勋,2
I Wrote a Song for You,韦礼安,2
I'm OK,陶喆,2
Imagined Light,Topshe,2
Intro,The xx; 尤长靖,2
Italo Disco,Last Dinosaurs,2
Jingle Bells,Santa Claus / Christmas Kids Party / Christmas Kidz Pop / Jingle Bells / Christmas Songs / Children's Music,2
Last Christmas,Taylor Swift; Wham!,2
Leave The Door Open,Bruno Mars / Anderson Paak / Silk Sonic,2
Lemon Tree,Fool's Garden,2
Les Patineurs - valse [Op. 183] (2005 Digital Remaster),Herbert von Karajan,2
Let It Go,Loni Lovato,2
Lonely God,惘闻,2
Lonesome Town,Ricky Nelson,2
Long Way Home,点灯人（Lamplighters）,2
Love,Keyshia Cole,2
Love Of My Life,Queen,2
MOM,蜡笔小心,2
Monday,窦靖童,2
Moon River,Audrey Hepburn; 伍々慧,2
Mornin' Pancakes,The Delegates,2
Moscato,Kurosuke,2
My Heart Will Go On,Céline Dion,2
Not Today,Imagine Dragons,2
November Rain,Guns N' Roses; Jannabi,2
OCEAN,彭坦 / 春晓,2
Off Shore,角松敏生,2
Para Para Sakura,郭富城,2
Parklife (2012 Remaster),Blur,2
Plastic Face,STOLEN秘密行动,2
Play我呸,蔡依林,2
Price Tag,Jessie J,2
R&B All Night (Live),郑伟杰Nigel / 王以太 / 王鲁飞lufy / 唐西锐 / 黄俊杰 / 赵家强,2
Reality,Richard Sanderson; YAYYOUNG,2
Rollin' On,椅子乐团 The Chairs,2
Rose,James Horner; Maximilian Hecker,2
Run Away,HYBS; 子瑜,2
SAFE ZONE,Vichaya Vatanasapt,2
Shall We Talk (Tre Lune MMXIX),陈奕迅,2
Song F (Live),达达乐队,2
Stay Gold,宇多田ヒカル,2
Suis-moi,Hans Zimmer / Richard Harvey / Camille,2
Summer Ends,THE BOOTLEGS 靴腿,2
Surfing Rock,肖骏,2
Susan 说,陶喆,2
The Corner We Call It Home,Shewillhewill,2
The Cup Of Life,Ricky Martin,2
The World Retreats,David O'Dowda,2
The job song,贝卡,2
Tonight,乔任梁,2
Twilight Rush（暮色狂奔）,结冰水,2
Under Pressure,Queen / David Bowie,2
Upupu,皮皮爱习题,2
We Are the Champions,Queen,2
Who Says,Selena Gomez,2
Without You,Badfinger; Mariah Carey,2
Year of the Snake,Arcade Fire,2
Yesterday Once More,Carpenters,2
get you the moon,Kina / SNØW,2
いつも何度でも,木村弓,2
いとしのエリー,サザンオールスターズ,2
きっとまたいつか（album version）,DEPAPEPE,2
ゆいいつむに,moumoon,2
一个人的北京,好妹妹,2
一个人走,林志炫,2
一个女人和浴室,谢安琪,2
一个小心愿,王菲,2
一场游戏一场梦 (Live),新裤子,2
一如往常,逃走鮑伯,2
一往情深的恋人 (Live),李健,2
一生所爱 (Live),重塑雕像的权利,2
七百年后,陈奕迅,2
三人游,方大同,2
上岗去,九连真人,2
上海25小时,顶楼的马戏团,2
上空河马,自由发挥,2
下一个天亮,郭静,2
下雨天,与少年他 / 芝麻Mochi; 南拳妈妈,2
不万能的喜剧,万能青年旅店,2
不吃早餐才是一件很嘻哈的事,MC HotDog 热狗 / 蛋堡,2
不完美女孩,周冬雨,2
不留,王菲,2
不确定,万芳,2
不要告别(Live),高旗&超载乐队,2
不醒的四月,周迅,2
与你到永久,伍佰,2
世情,五条人,2
世界上不存在的歌,赵英俊,2
世界会变好,痛仰乐队,2
世界末日的某个角落,卡奇社 / 魏如萱 / 鹤这豹脾气 / 颗粒,2
世界正中,陈粒,2
世界的理想,五条人,2
中南海,Carsick Cars,2
中学时代,水木年华,2
义务为豪大大鸡排所作个广告歌,顶楼的马戏团,2
乘着破船回家,白举纲,2
九月九的酒,陈少华,2
九月底,余佳运,2
也许我见不到你了,伤心欲绝,2
亲爱的,旅行团; 郑宜农,2
亲爱的你怎么不在我身边,江美琪,2
亲爱的旅人啊,周深,2
人啊,徐佳莹,2
人质,张惠妹,2
人间 (live),王菲,2
今天是你的生日，妈妈 (Live),李健,2
今年一定带你去看海,Peace Hotel(和平饭店),2
他妈的,尧十三,2
以为,反光镜,2
仰望,杨丞琳,2
伤心太平洋,任贤齐,2
但我爱你,霓虹花园,2
你不是真正的快乐 (Live),G.E.M.邓紫棋,2
你不知道的事,王力宏,2
你会有报应,孔雀眼,2
你会爱的人,杨千嬅,2
你在终点等我,王菲,2
你是我胸口永远的痛,王杰 / 叶欢,2
你曾是少年,焦迈奇,2
你的城市,声音玩具,2
你的甜蜜,范晓萱,2
你的背包,陈奕迅,2
你瞒我瞒,陈柏宇,2
你离开了南京从此没有人和我说话（翻自 BB）,谣子,2
你要的爱,戴佩妮,2
你都忘了你有多美,新裤子,2
信游无疆,法兹乐队 FAZI,2
倾城之雨,罗大佑,2
假象海,Bad Sweetheart,2
偏偏喜欢你,霓虹花园,2
偶然,周深 / 李维,2
像我这样的人,毛不易,2
像我这样的女孩,自然卷,2
像风一样,薛之谦,2
僕が死のうと思ったのは,中島美嘉,2
光之翼,王菲,2
光年之外,G.E.M.邓紫棋,2
克林,棱镜,2
公主,厨子和戏子; 回春丹,2
公园里,白天不亮 / 彭坦,2
公路之歌,痛仰乐队,2
兴奋到死的东西,回春丹,2
再也没有,永彬Ryan.B / AY楊佬叁,2
再次来临,谢天笑,2
再见(真情版),张震岳,2
再见北京,赵雷,2
再见杰克,痛仰乐队,2
"再见，银河系（Good bye,our galaxy)",霜默（Frosty Silence）,2
再谈记忆,盘尼西林,2
写一首歌,顺子,2
军港之夜,吕继宏,2
农夫渔夫,大乔小乔,2
冬夜里的雨滴,无边界音乐,2
冬天游水,张玉华,2
冰,裘德 / 康士坦的变化球,2
冰糖葫芦,冯晓泉; 红娃娃,2
冷雨夜,Beyond,2
分分钟需要你,林子祥; 林忆莲,2
分手快乐,梁静茹,2
别，千万别,朴树,2
加德满都的风铃,汪峰,2
匆匆那年,王菲,2
北京Long Stay,袁泉,2
十万嬉皮,万能青年旅店,2
十面埋伏,陈奕迅,2
千千阕歌,陈慧娴,2
千言万语,王菲,2
单车,陈奕迅,2
单车恋人,后弦,2
南三环东路,DOUDOU,2
南国的孩子,张悬,2
去他的岛,未来寺,2
县城,刘森,2
只有音乐才是我的解药,反光镜,2
可惜我是水瓶座,杨千嬅,2
后会无期,G.E.M.邓紫棋; 徐良 / 汪苏泷,2
听海(live版),张惠妹,2
听那星光歌唱,许美静,2
周末玩具,旅行团,2
味道 (live),张学友,2
咱们工人有力量,中国广播艺术团合唱团,2
哎哟,毛不易,2
哔一声之后,王菲,2
哭了,范晓萱,2
哭砂,林志炫,2
嗨嗨人生,MC Hotdog / 张震岳 / 关颖,2
嚎叫俱乐部,反光镜,2
在世界的尽头大声地说我恨你,鱼丁糸,2
在别处,许巍,2
在小时候的黄昏见,宋捷,2
在希望田,朴树,2
在我成为井井有条的大人之前,郭采洁,2
在路上,麦田守望者,2
坦白,火星电台,2
城市潛水,椅子乐团 The Chairs,2
城市黄昏 (Acoustic Version),霓虹花园,2
堕落,王菲,2
塔吉汗,马条,2
墨荭潮,彭坦,2
复刻回忆,薛凯琪 / 方大同,2
夏夜最后的浪漫,缺省,2
夏天,李玖哲,2
夏天海边,隔壁团乐队,2
夏日物语,卓越,2
夕阳之歌(Live),梅艳芳,2
夜夜夜夜,熊天平; 金池,2
夜照亮了夜,伍佰 & China Blue,2
大海啊，故乡,钟立风,2
天上飞,二狗子Saddoggy; 李承铉,2
天佑二零,Quark,2
天天(Revised 2003 Version),陶喆,2
天黑黑,孙燕姿,2
太阳可以是蓝色吗,潮池蓝,2
失落沙洲,徐佳莹,2
女人与小孩 I,齐豫,2
她,周华健 / 王思远; 王思远,2
她和她和她,于贞,2
好花红,赵泰,2
"如何 (From ""แปลรักฉันด้วยใจเธอ"")",PP Krit,2
如果太阳落下,许钧,2
如果明天,牛奶咖啡,2
如果有来生,谭维维,2
如果能忍住,暴躁的兔子,2
如果这就是生活,周迅,2
如烟 + 如果还有明天 (Live),五月天 / 家家,2
妈妈，我...,朴树,2
姗姗,金玟岐,2
娱乐天空,火星电台; 陈奕迅,2
存在,林忆莲; 黄贯中,2
孩子,陈绮贞; 黑屋乐队,2
宇宙之大,许嵩,2
安靜的美好,康士坦的变化球,2
完美夏天(Live),高旗&超载乐队,2
家,南拳妈妈; 许巍,2
寂寞烟火,朱婧汐Akini Jing,2
对镜梳妆,沈庆,2
寻人启事,梅婷,2
對不起我做不到答應了你的事,康士坦的变化球,2
小孩儿,THE BOOTLEGS 靴腿,2
小时候,五月天,2
小狗落回你身旁,动物园钉子户,2
小聪明,王菲,2
小镇姑娘,陶喆,2
小黄人版Happy Birthday To You（Cover ：Unknow）,BR44,2
少女的祈祷(Live),杨千嬅,2
少年锦时,赵雷,2
就要思君,ZaZaZsu,2
就让我在春风沉醉的夜晚老去,野夫子,2
就让我坠入海底（Sink Into A Deep Sea）,Sunken Boat 沉舟乐队,2
山河水,窦唯,2
左边,杨丞琳,2
巴黎德州,椅子乐团 The Chairs,2
干杯,五月天,2
干杯时我会想起你,新学校废物合唱团,2
干杯朋友 (2016重混版),不优雅（biuya）,2
平凡的一天,毛不易,2
年轻无极限,孙燕姿,2
年轻诗人,理想后花园,2
幸福拍手歌,中央人民广播电台少年广播合唱团; 宝宝巴士,2
幸虧我沒有死在昨晚,黑色收音机派对,2
庆祝,杨丞琳; 蔡国庆,2
异乡人 (live),李健,2
张三的歌,张悬; 蔡琴,2
弯弯的月亮,吕方,2
归来,满江; 纵贯线,2
当你老了,莫文蔚; 赵照,2
当夜空落去，城市继续前行,帆布小镇（Canvas Townlet）,2
当我再见到你的时候,白举纲,2
当我爱你的时候,钢心,2
彩虹,叶蓓; 张惠妹,2
很难,张震岳,2
心愿便利贴,元若蓝 / 大Q秉洛; 大Q秉洛 / 元若蓝,2
心雨,杨钰莹 / 毛宁,2
忘记时间,胡歌,2
快乐,deca joins,2
快乐老家,陈明,2
怪情歌,陈粒,2
恋恋风尘,老狼,2
恋爱的犀牛,黄雨篱 / 刘逸诗,2
恐龍一樣勇敢,康姆士COM'Z,2
恨情歌＋风筝＋然而(Live),秦昊,2
恭喜恭喜,中国娃娃,2
悟空,戴荃; 蔡翊昇,2
悲伤只是一种普遍的情绪,塑料,2
悲哀藏在现实中,刘森,2
情人,Beyond,2
情歌王,古巨基,2
情歌而已,声音碎片乐队,2
想像,王菲,2
想念,刘若英,2
想把你留在这里,Tizzy T / Jony J,2
愛愛不懂愛 AiAi (Album V),我是機車少女,2
愿长夜里有人陪你说话,鹿先森乐队,2
慢灵魂,卢广仲,2
戏雪,张艾嘉,2
我不会喜欢你,陈柏霖,2
我不知道2020,梁博,2
我也很想他,孙燕姿,2
我们俩,郭顶,2
我们打着光脚在风车下跑，手上的狗尾巴草摇啊摇,等一下就回家 / -艾兜,2
我们最好的时光 就是现在,新裤子,2
我们的时光,赵雷,2
我们都拥有海洋,吴青峰,2
我們的地方,椅子乐团 The Chairs,2
我去spa 你去死吧,顶楼的马戏团,2
我只在乎你,邓丽君,2
我和我的金鱼都抑郁了,狮童; 狮童乐队,2
我好想你,徐佳莹,2
我很好,刘沁; 刘若英,2
我总是不懂你的意思,Bad Sweetheart,2
我想,余佳运,2
我想 （正式版）feat.泠风,法老 / 泠风,2
我想和你一起,温蒂漫步,2
我想和你虚度时光,程璧 / 莫西子诗,2
我成了自己期待的样子,白举纲,2
我所拥有的时间,七八点,2
我无法停止幻想,梅卡德尔,2
我是一条小青龙(OK版),关峡,2
我爱你，再见,朴树,2
我的Folykiki,沙一汀EL,2
我的名字,焦迈奇,2
我的好心情,苏有朋,2
我的生命只有过一次意义,丢火车,2
我的秘密,G.E.M.邓紫棋,2
我的蒙娜丽莎,旅行团,2
我要你爱,美秀集团,2
我要开花,二手玫瑰,2
我要的幸福,孙燕姿,2
我要的幸福 (live),YELLOW黄宣,2
我要让你心碎,达闻西乐队,2
我还年轻 我还年轻,老王乐队,2
我这样的男人,郑智化,2
手捧一杯酒,椅子乐团 The Chairs,2
才二十三,方大同,2
执迷不悔 (Live),王菲,2
扫兴,王菲,2
把闹钟关了,CJ 周密 / JiaWeiXian,2
抓住他,钟立风,2
抓贼,雪村,2
披星戴月的想你,告五人,2
抱着你,张震岳,2
抽根烟 喝杯酒,万晓利,2
拥抱春天,A公馆,2
挪威的森林,伍佰; 伍佰 & China Blue,2
推翻(Unpluggde) (live),王菲,2
摆渡,火星电台,2
放心去飞,小虎队,2
断气,回春丹,2
断点,张敬轩,2
新年快乐,中国娃娃; 小虎队 / 忧欢派对,2
无名的人,毛不易,2
无尽美丽的事物,昨夜派对（L.N Party）,2
无条件,陈奕迅,2
无法原谅,李佳璐,2
无法拥有的人要好好道别,棱镜,2
无烦恼,反光镜,2
无畏号,火星电台,2
无间爱恋,彭坦 / 春晓,2
日子,张悬,2
旧城之王,Muma木马,2
早晨,达达乐队,2
早点早点,沙一汀EL,2
早睡身体好,许嵩,2
时光,许巍,2
明天我要嫁给你,周华健,2
星,谷村新司,2
星期三或礼拜三,魏如萱 / 岑宁儿; 魏如萱 / 马頔,2
星期天去骑车,豆花Lua; 露可安,2
星空 (Live),五月天,2
星空之上,Crispy脆乐团,2
春光乍泄,张国荣,2
春天,周迅,2
春天游泳,deca joins,2
春天里,旭日阳刚; 汪峰,2
春天音乐,丢莱卡WastedLaika,2
昨天今天,老狼,2
昨天就像是没有发生过,宋捷,2
是你想成为的大人吗,尤长靖,2
是是非非,陶喆,2
显微镜下的爱情,黄义达,2
曾 经 错 过 与 你,海德薇乐队(THE HEDWIG),2
最后一班车,刺猬,2
月亮之上 自由飞翔 雷鬼舞曲版,凤凰传奇,2
月亮船,王英姿,2
月光爱人,李玟,2
月半小夜曲,李克勤,2
月牙湾,F.I.R.,2
有一种悲伤,黄丽玲,2
有何不可,许嵩,2
有你的快乐,王若琳,2
有暖气 (You Nuan Chi),橘子海 (Orange Ocean),2
朋友 (live),左麟右李,2
未来的主人翁,罗大佑,2
未给姐姐递出的信,赵雷,2
末日,王菲,2
杭州，利群，你,许钧,2
树叶,彭坦,2
梦伴,李悦君Ericaceae,2
梦里梦外,Jam,2
梵高先生,撒娇,2
椰林少女,旅行团,2
歌 (1995年Unplugged版),罗大佑,2
歌一切,许钧,2
歌唱祖国,东方红合唱队; 群星,2
死者より,坂本慎太郎,2
殉情,夏之禹,2
比天空还远,曹方,2
比我幸福,陈晓东,2
毕业歌,额尔古纳乐队,2
毛病,达达乐队,2
气球,许哲珮,2
氧气(O2 有氧版),范晓萱,2
永隔一江水,刘森,2
沙发上的白日梦,SoulFa 灵魂沙发,2
没有你的旅途 没有意义,新裤子,2
没长大的歌,孟慧圆,2
泥河,万能青年旅店,2
泪桥,伍佰; 伍佰 & China Blue,2
活着便精彩,Beyond,2
派对动物 (Life Live),五月天,2
济南济南,陈小熊,2
浪漫人渣,打倒三明治,2
浪费 (Live),林宥嘉 / 郁可唯,2
浴室,deca joins,2
海盗船长2.0 (live版),风子,2
海边旅馆一夜,Schoolgirl byebye,2
海边的罗密欧与朱丽叶,火星电台,2
深夜的歌,张过年,2
清白之年 (Live),朴树,2
温蒂公主的侍卫,告五人,2
游戏胜利,Chinese Football,2
漂洋过海来看你,娃娃; 李宗盛,2
潇洒走一回,二手玫瑰; 叶蒨文,2
潘朵拉,张韶涵,2
潮疑（Ask The Waves What To Do）,弱水WeakWaves,2
烂人生,泥鳅Zinco,2
烟花,南西肯恩; 窦靖童,2
热死荒梁,法兹乐队 FAZI,2
热爱,郑钧,2
無法當你的平凡普通朋友(Live at The Sigh),康姆士COM'Z,2
燃烧的爱情 feat.李鹏(反光镜),闪星TwinkleStar,2
爱不爱我,零点乐队,2
爱了很久的朋友（翻自 田馥甄）,不靠谱组合,2
爱人呢？,郭采洁,2
爱人穿过你,刘森,2
爱无所畏,莫文蔚,2
爱是个什么东西,陶喆,2
爱的卡片,明天的盐,2
爱的奉献,翁倩玉,2
爱的箴言,罗大佑,2
爱要怎么说出口,赵传,2
父亲写的散文诗 (live),李健,2
犯错,顾峰 / 斯琴高丽,2
狼狽(live),康姆士COM'Z,2
猎户星座 (Live版),朴树,2
猪猪侠,陈洁丽,2
猴哥,张伟进,2
王八蛋 (Live),陶喆,2
玫瑰往事,昨夜派对（L.N Party）,2
环游世界,Tizzy T / 旅行团,2
理想三旬 (Live),谢春花 / 音乐好朋友,2
生きていたんだよな,あいみょん,2
生之响往,刺猬,2
生命万岁,GALA,2
生日祝福歌,格格,2
生活的诗意,彭坦,2
男孩别哭,海龟先生,2
白痴,王菲,2
盛夏光年,五月天,2
盛夏的果实,莫文蔚,2
看见快乐对我笑,万芳,2
真心英雄,彭昱畅 / 刺猬,2
真的想见你 (Live),李玟,2
着迷 (Fascination),迷心,2
睫毛弯弯,王心凌,2
祝你生日快乐,云雀合唱团,2
祝君好,张智霖,2
祝我幸福,杨乃文,2
离人,林志炫,2
秋天不回来,王强,2
科幻,许嵩,2
空に星が綺麗~悲しい吉祥寺~,斉藤和義,2
空帆船 (Live),朴树,2
突然好想你 (Live),古巨基; 徐佳莹,2
突然想到理想这个词,郝云,2
突然想爱你,许茹芸,2
突然的自我,伍佰 & China Blue,2
童,王菲,2
笑忘歌,五月天,2
等待,达达乐队,2
等我们老了，就定居在重庆,房东的猫,2
答案,杨坤 / 郭采洁,2
简情歌 （吉他版）,房东的猫,2
粉红色的回忆,痛仰乐队; 韩宝仪,2
粘人,二手玫瑰,2
红与黑,低苦艾,2
红玫瑰,陈奕迅,2
红色的河 (旅行团 & 吴青峰),旅行团 / 吴青峰,2
红运当头,明堂唱片 / 夏之禹 / 白天不亮,2
给一个焦虑症的朋友,理想后花园,2
给你一瓶魔法药水,告五人,2
给我一点温度,梁博,2
给自己的情书,王菲,2
绿光,孙燕姿,2
缅因路的月亮,盘尼西林,2
罗生门,吴青峰; 麦浚龙 / 谢安琪,2
美丽山,彭坦,2
美丽新世界(Live),S.H.E,2
美之 (Mee & Gee),N.Y.P.D. 南洋派對,2
美妙的孤单,浪,2
老友,鲸鱼马戏团,2
老子明天不上班,谢帝,2
耳语,彭坦,2
自然卷,自然卷,2
至少还有你,林忆莲,2
船长,赵雷,2
花事了,王菲,2
花火,梁咏琪; 汪峰,2
花的姿态,陈绮贞,2
花祭,齐秦,2
苏州河,薛凯琪,2
范玮琪 - 一个像夏天一个像秋天,San ves / 张雯倩,2
莫欺少年穷,九连真人,2
葡萄成熟时,陈奕迅,2
藓的歌唱,安溥 anpu,2
街仔路雨落袂停,郑宜农 / 陈娴静,2
被雨伤透,魏如萱 / 吴青峰,2
西游记主题曲,许镜清 / 中央芭蕾舞团管弦乐队,2
言不由衷,徐佳莹,2
让一切随风,钟镇涛,2
让我坠入爱的漩涡,大张伟,2
让我给你买包烟,脏手指 Oh! Dirty Fingers,2
谢谢你的爱1999,谢霆锋,2
谢谢侬,陈奕迅,2
贝加尔湖畔,李健,2
贪心,张震岳,2
赤子呓语一生梦,刺猬,2
赤道上,蔡健雅,2
走不开的快乐,Beyond,2
走马灯,彭坦,2
越长大越孤单,牛奶咖啡,2
路口,张震岳,2
路过而已,执纸大魔王,2
跳海,告五人,2
踩着三轮车卖菜的老阿伯,阿牛,2
身未动，心已远,周迅,2
辞(《观音山》主题曲),范冰冰,2
达摩流浪者,万晓利,2
还想听你的故事,谢春花 / 王碧浪,2
还我蔚蓝,反光镜,2
这世界只有你明白我,隔壁团乐队,2
这世界那么多人,莫文蔚,2
远道而来的云,Muma木马,2
迪安的啤酒,风子,2
迷失,彭坦,2
迷失广州,唯利玉碎计划,2
迷途相聚,声音碎片乐队,2
追,张国荣; 陶喆,2
送你一朵小红花,Mr.田; 赵英俊 / 船长—每晚8点弹唱直播,2
逃,孙盛希,2
逝去的歌,旅行团,2
遇见你,苏扔旺Susan Wong,2
遗憾,时间不够以后; 许美静,2
遥望(励志篇),小柯,2
遥远的她,张学友; 陈奕迅,2
那不是我的名字,小河,2
那些事情是真的有意思吗,当代电影大师,2
那些你很冒险的梦,林俊杰,2
那些年,胡夏,2
那些花儿(吉他版),朴树,2
郭源潮,宋冬野,2
都市金阁寺 (Lost Soul Paradise),迷心,2
都没关系 (feat. 苏珮卿),Skyline 天际线融合爵士乐团 / 苏珮卿,2
野火,声音碎片乐队,2
野狼disco,宝石Gem,2
野花,田震,2
金陵,烟雾弥漫双眼,2
钱,麦田守望者,2
银色山坡 (Silver Hillside),Bad Sweetheart,2
闪光的回忆,逃跑计划,2
闷 (Live),王菲,2
阳光下,满江,2
阳光下的星星,金海心,2
阳光总在风雨后,许美静,2
阿公的热气球 Grandpa's Balloon,royster lee,2
阿呆,岛屿心情,2
阿奶,旅行团,2
阿珍爱上了阿强,五条人,2
陌生的女人,乐园里乐团,2
陪你度过漫长岁月,陈奕迅,2
隐藏,海瞳,2
雨季森林 (Don't Rain on Me),VH (Vast & Hazy),2
露从今夜白,烟雾弥漫双眼,2
青春纪念册,可米小子,2
青藏高原,李娜; 韩红,2
靠近一点点,梁心颐,2
面会菜,林生祥,2
风马,郑钧,2
飞人,秦昊,2
香奈儿,王菲,2
香格里拉,魏如萱; 黄玠,2
香水有毒,桂莹莹,2
鬼迷心窍,李宗盛,2
鱼,陈绮贞; 魏如萱,2
鹿港小镇,罗大佑,2
麻醉,王菲,2
黄昏,周传雄; 押尾コータロー,2
黄河谣,野孩子,2
黑洞里,方大同,2
黑色柳丁,陶喆,2
黑色梦中,窦唯,2
그남자,玄彬,2
청춘,Sanulrim; 산울림 Sanullim,2
(Everything I Do) I Do It For You (Album Version),Bryan Adams,1
(失明前)我想记得的47件事,陈绮贞 / Fa,1
02 苏州河（prod. by 三册柏）,L1STALLDO(厘思翱渡) / 宝藏山 Treasure Hill / 三册柏,1
02：50,派克特（PACT） / GALI / Jony J / KIGGA,1
10 Hz Alpha Thunderstorm (Extended Version),White Noise Meditation,1
19才,スガシカオ,1
2002年的第一场雪,刀郎,1
202 (New Mix),ラブリーサマーちゃん / 泉まくら,1
20岁的礼物是一双鞋,浪旅LongTravel,1
22,Taylor Swift,1
22 (OVER S∞∞N),Bon Iver,1
24,陈奕迅,1
24小时摇滚聚会,刺猬,1
25,鸟撞 Birdstriking,1
28214（去别处）,KEY.L刘聪,1
29,许钧,1
29 (live版),许钧,1
3055,Ólafur Arnalds,1
365 个祝福,蔡国庆 / 王宛尘 / 王云峰 / S-win,1
40,刘若英 / 李心洁 / 张艾嘉,1
404 NOT FOUND,楽七俱乐部,1
"5 Military Marches, Op. 39, ""Pomp and Circumstance"": No. 1 in D Major, ""Land of Hope and Glory"":Military March No. 1 in D Major, Op. 39, ""Pomp and Circumstance""",Edward Elgar,1
500 Miles,The Journeymen,1
7 Years,Lukas Graham,1
79 89 99,戴佩妮,1
8+2+8  I,重塑雕像的权利,1
83射雕 铁血丹心 激昂版,之乐而乐,1
918,氿铭,1
A Letter To My Younger Self,Quinn XCII / Logic,1
A Sad Me In Your Eyes,昨夜派对（L.N Party）,1
A Thousand Years,Christina Perri,1
A toi,Joe Dassin,1
ALDEBARAN,STOLEN秘密行动,1
Adagio Per Archi E Organo In Sol Minore,London Philharmonic Orchestra,1
Adore You,Harry Styles,1
Affection,Fiji Blue,1
All I Want For Christmas Is You,Mariah Carey,1
All Time Low,Kurt Hugo Schneider / Sam Tsui / Casey Breves,1
All for you,徐仁国 / 郑恩地,1
Am Pm,莫文蔚,1
Amarillo,Shakira,1
Amen,戴佩妮,1
Amerigo,Patti Smith,1
"Amor, Amor De Mis Amores",Natalia Lafourcade / Devendra Banhart,1
And I Hope,LEIWA,1
And I Love You So,尧十三,1
Angel Baby,Troye Sivan,1
Another Day,Fiji Blue,1
Another Piece of the Cake,Summer Salt,1
Anthem (The 2002 FIFA World Cup Official Anthem) [JS Radio Edit],Vangelis,1
Anybody Out There?,HUSH,1
Apocalypse,Cigarettes After Sex,1
Aquarius,Aqua,1
Around the World,Aqua,1
Aruarian Dance,Nujabes / Fat Jon,1
Asian Dream Song,久石譲,1
Aurora Borealis,John H. Clarke,1
Autumn Leaves,Eric Clapton,1
A小調圓舞曲〈遺作〉waltz In A Minor B.150 Op. Posth,Zelimir Panic,1
BCKYRD,Hot Mulligan,1
Baby,Justin Bieber / Ludacris,1
Baby Got Back,Sir Mix-A-Lot,1
Baby Sister,江映蓉 / 李霄云 / 黄英 / 郁可唯 / 刘惜君 / 谈莉娜 / 潘辰 / 潘虹樾 / 曾轶可 / 李予溪,1
Baby Song,陈奕迅,1
Battle Song,Berlin Psycho Nurses（柏林护士）,1
Beautiful Woman,张悬,1
Beautiful《孤单又灿烂的神-鬼怪》OST（翻自 Crush (크러쉬).）,D.Mao,1
Beggin',Måneskin,1
Better,叶喜儿,1
Bim Bam Boum,Melissa Mars,1
Birthday Song,Frankie Cosmos,1
Biutyful,Coldplay,1
Black Sheep,OmenXIII / ʎpoqou,1
Bloodshot,Lexy Panterra,1
Bloom of Youth,清水淳一,1
Blowin' in the Wind,Bob Dylan,1
Blowing in the Wind,Bob Dylan,1
Bluss,Otto A Totland,1
Bohemian Rhapsody,Queen,1
Bohemian Rhapsody (Live),王菲,1
Boléro,Berliner Philharmoniker / Herbert von Karajan,1
Breathe Easy,Blue,1
Brothers In Arms (Live At The Royal Albert Hall),Mark Knopfler,1
Burgundy Red,落日飞车,1
Bye Bye,旅行团,1
Bye Bye (Live),旅行团,1
CHEER UP! THE SUMMER,山下達郎,1
California,Claire Ridgely,1
Call Me Call Me,Steve Conte / Seatbelts,1
Camberwell,#1 Dads,1
Camera,Ed Sheeran,1
Camino sin fin,张三弥,1
Can You Feel the Love Tonight (End Title),Elton John,1
"Can You Feel the Love Tonight (End Title/ From ""The Lion King""/Soundtrack Version)",Elton John,1
Can't Help Falling In Love,F4,1
Can't buy me love,伍々慧,1
Candy 甜心,ColorfulBar 彩文,1
Candycan,kidult.,1
Capricorn,Vampire Weekend,1
